CBSA Code,CBSA,month,AQI
10100,"Aberdeen, SD",01,25.8
10140,"Aberdeen, WA",01,24.677419354838708
10260,"Adjuntas, PR",01,13.222222222222221
10300,"Adrian, MI",01,35.87096774193548
10420,"Akron, OH",01,38.03225806451613
10500,"Albany, GA",01,38.645161290322584
10540,"Albany, OR",01,47.29032258064516
10580,"Albany-Schenectady-Troy, NY",01,44.064516129032256
10740,"Albuquerque, NM",01,48.96774193548387
10780,"Alexandria, LA",01,18.9
10900,"Allentown-Bethlehem-Easton, PA-NJ",01,41.645161290322584
11020,"Altoona, PA",01,39.25806451612903
11100,"Amarillo, TX",01,39.87096774193548
11260,"Anchorage, AK",01,51.41935483870968
11460,"Ann Arbor, MI",01,39.645161290322584
11540,"Appleton, WI",01,25.903225806451612
11620,"Ardmore, OK",01,27.967741935483872
11660,"Arkadelphia, AR",01,26.06451612903226
11700,"Asheville, NC",01,22.0
11780,"Ashtabula, OH",01,0.8064516129032258
11900,"Athens, OH",01,33.8
11940,"Athens, TN",01,24.70967741935484
12020,"Athens-Clarke County, GA",01,34.96774193548387
12060,"Atlanta-Sandy Springs-Roswell, GA",01,45.25806451612903
12100,"Atlantic City-Hammonton, NJ",01,33.0
12260,"Augusta-Richmond County, GA-SC",01,40.354838709677416
12300,"Augusta-Waterville, ME",01,15.0
12420,"Austin-Round Rock, TX",01,39.096774193548384
12540,"Bakersfield, CA",01,74.96774193548387
12580,"Baltimore-Columbia-Towson, MD",01,39.29032258064516
12620,"Bangor, ME",01,22.548387096774192
12660,"Baraboo, WI",01,28.64516129032258
12700,"Barnstable Town, MA",01,36.354838709677416
12940,"Baton Rouge, LA",01,40.32258064516129
13020,"Bay City, MI",01,28.032258064516128
13140,"Beaumont-Port Arthur, TX",01,46.516129032258064
13180,"Beaver Dam, WI",01,40.03225806451613
13380,"Bellingham, WA",01,27.838709677419356
13420,"Bemidji, MN",01,32.89655172413793
13460,"Bend-Redmond, OR",01,27.483870967741936
13540,"Bennington, VT",01,36.58064516129032
13620,"Berlin, NH-VT",01,6.7
13700,"Big Spring, TX",01,24.516129032258064
13740,"Billings, MT",01,27.322580645161292
13820,"Birmingham-Hoover, AL",01,51.74193548387097
13860,"Bishop, CA",01,40.645161290322584
13900,"Bismarck, ND",01,35.225806451612904
13980,"Blacksburg-Christiansburg-Radford, VA",01,34.45161290322581
14010,"Bloomington, IL",01,43.516129032258064
14020,"Bloomington, IN",01,36.354838709677416
14260,"Boise City, ID",01,58.45161290322581
14420,"Borger, TX",01,10.678571428571429
14460,"Boston-Cambridge-Newton, MA-NH",01,44.45161290322581
14500,"Boulder, CO",01,40.774193548387096
14540,"Bowling Green, KY",01,36.064516129032256
14580,"Bozeman, MT",01,32.483870967741936
14660,"Brainerd, MN",01,27.35483870967742
14700,"Branson, MO",01,15.8
14740,"Bremerton-Silverdale, WA",01,20.870967741935484
14860,"Bridgeport-Stamford-Norwalk, CT",01,38.29032258064516
15100,"Brookings, SD",01,38.25806451612903
15180,"Brownsville-Harlingen, TX",01,36.32258064516129
15260,"Brunswick, GA",01,27.555555555555557
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",01,39.645161290322584
15540,"Burlington-South Burlington, VT",01,37.74193548387097
15580,"Butte-Silver Bow, MT",01,41.733333333333334
15620,"Cadillac, MI",01,35.645161290322584
15700,"Cambridge, MD",01,33.225806451612904
15860,"Ca¤on City, CO",01,9.8
15940,"Canton-Massillon, OH",01,40.25806451612903
15980,"Cape Coral-Fort Myers, FL",01,39.32258064516129
16100,"Carlsbad-Artesia, NM",01,35.354838709677416
16180,"Carson City, NV",01,36.903225806451616
16220,"Casper, WY",01,38.61290322580645
16260,"Cedar City, UT",01,34.03225806451613
16300,"Cedar Rapids, IA",01,40.83870967741935
16500,"Centralia, WA",01,35.32258064516129
16540,"Chambersburg-Waynesboro, PA",01,27.870967741935484
16580,"Champaign-Urbana, IL",01,40.70967741935484
16620,"Charleston, WV",01,36.74193548387097
16700,"Charleston-North Charleston, SC",01,34.58064516129032
16740,"Charlotte-Concord-Gastonia, NC-SC",01,40.25806451612903
16820,"Charlottesville, VA",01,25.0
16860,"Chattanooga, TN-GA",01,35.87096774193548
16940,"Cheyenne, WY",01,37.0
16980,"Chicago-Naperville-Elgin, IL-IN-WI",01,52.225806451612904
17020,"Chico, CA",01,53.54838709677419
17140,"Cincinnati, OH-KY-IN",01,47.483870967741936
17200,"Claremont-Lebanon, NH-VT",01,35.354838709677416
17220,"Clarksburg, WV",01,28.444444444444443
17300,"Clarksville, TN-KY",01,35.03225806451613
17340,"Clearlake, CA",01,28.096774193548388
17380,"Cleveland, MS",01,26.193548387096776
17460,"Cleveland-Elyria, OH",01,52.58064516129032
17540,"Clinton, IA",01,46.4
17660,"Coeur d'Alene, ID",01,23.806451612903224
17780,"College Station-Bryan, TX",01,0.8064516129032258
17820,"Colorado Springs, CO",01,38.61290322580645
17900,"Columbia, SC",01,35.645161290322584
17980,"Columbus, GA-AL",01,31.451612903225808
18020,"Columbus, IN",01,33.58064516129032
18140,"Columbus, OH",01,45.54838709677419
18180,"Concord, NH",01,6.67741935483871
18260,"Cookeville, TN",01,20.451612903225808
18500,"Corning, NY",01,34.0
18580,"Corpus Christi, TX",01,40.096774193548384
18620,"Corsicana, TX",01,36.70967741935484
18700,"Corvallis, OR",01,30.225806451612904
18860,"Crescent City, CA",01,10.555555555555555
18880,"Crestview-Fort Walton Beach-Destin, FL",01,30.548387096774192
19000,"Cullowhee, NC",01,18.272727272727273
19060,"Cumberland, MD-WV",01,40.935483870967744
19100,"Dallas-Fort Worth-Arlington, TX",01,44.54838709677419
19300,"Daphne-Fairhope-Foley, AL",01,28.375
19340,"Davenport-Moline-Rock Island, IA-IL",01,47.096774193548384
19380,"Dayton, OH",01,45.903225806451616
19460,"Decatur, AL",01,32.61290322580645
19500,"Decatur, IL",01,44.32258064516129
19660,"Deltona-Daytona Beach-Ormond Beach, FL",01,37.45161290322581
19700,"Deming, NM",01,9.580645161290322
19740,"Denver-Aurora-Lakewood, CO",01,55.516129032258064
19780,"Des Moines-West Des Moines, IA",01,38.38709677419355
19820,"Detroit-Warren-Dearborn, MI",01,53.61290322580645
19860,"Dickinson, ND",01,33.32258064516129
19980,"Dodge City, KS",01,10.193548387096774
20020,"Dothan, AL",01,28.4
20060,"Douglas, GA",01,21.3
20100,"Dover, DE",01,35.74193548387097
20180,"DuBois, PA",01,29.483870967741936
20260,"Duluth, MN-WI",01,34.61290322580645
20420,"Durango, CO",01,39.774193548387096
20500,"Durham-Chapel Hill, NC",01,42.483870967741936
